2026-06-07 14:49:50,857 | bronze_pipeline | INFO | [dummyjson_users] Done — 30 rows inserted
2026-06-07 14:49:50,858 | bronze_pipeline | INFO | [dummyjson_carts] Starting ingestion
2026-06-07 14:49:52,199 | bronze.insert_query | INFO | Table 'bronze.dummyjson_carts' already exists.
2026-06-07 14:49:52,237 | bronze.insert_query | INFO | [bronze.dummyjson_carts] Inserted 30 rows.
2026-06-07 14:49:52,237 | bronze.loader | INFO | [dummyjson_carts] Inserted 30 rows into bronze.dummyjson_carts
2026-06-07 14:49:52,267 | bronze.insert_query | INFO | [dummyjson_carts] Logged pipeline run 2d691b41-8a6c-4865-aff2-b2bb72d3798a (success)
2026-06-07 14:49:52,267 | bronze_pipeline | INFO | [dummyjson_carts] Done — 30 rows inserted
2026-06-07 14:49:52,267 | bronze_pipeline | INFO | [jsonplaceholder_posts] Starting ingestion
2026-06-07 14:49:52,538 | bronze.insert_query | INFO | Table 'bronze.jsonplaceholder_posts' already exists.
2026-06-07 14:49:52,697 | bronze.insert_query | INFO | [bronze.jsonplaceholder_posts] Inserted 100 rows.
2026-06-07 14:49:52,697 | bronze.loader | INFO | [jsonplaceholder_posts] Inserted 100 rows into bronze.jsonplaceholder_posts
2026-06-07 14:49:52,728 | bronze.insert_query | INFO | [jsonplaceholder_posts] Logged pipeline run 2d691b41-8a6c-4865-aff2-b2bb72d3798a (success)
2026-06-07 14:49:52,728 | bronze_pipeline | INFO | [jsonplaceholder_posts] Done — 100 rows inserted
2026-06-07 15:13:09,601 | bronze_pipeline | INFO | [fakestore_products] Starting ingestion
2026-06-07 15:13:10,974 | bronze.extractor | INFO | [https://fakestoreapi.com/products] Non-paginated — 20 records fetched
2026-06-07 15:13:11,065 | bronze.insert_query | INFO | Schema 'bronze' not found — creating...
2026-06-07 15:13:11,077 | bronze.insert_query | INFO | Table 'bronze.fakestore_products' not found — running migration...
2026-06-07 15:13:11,164 | bronze.insert_query | INFO | Migration executed from: D:\Folder-for git upload\Etl-prj-for-retail\db\migrations\bronze_tables.sql
2026-06-07 15:13:11,165 | bronze.insert_query | INFO | Table 'bronze.fakestore_products' created successfully.
2026-06-07 15:13:11,218 | bronze.insert_query | INFO | [bronze.fakestore_products] Inserted 20 rows.
2026-06-07 15:13:11,218 | bronze.loader | INFO | [fakestore_products] Inserted 20 rows into bronze.fakestore_products
2026-06-07 15:13:11,252 | bronze.insert_query | INFO | [fakestore_products] Logged pipeline run aa1ad0d4-2757-4c8c-84fe-c3175b143c1c (success)
2026-06-07 15:13:11,252 | bronze_pipeline | INFO | [fakestore_products] Done — 20 rows inserted
2026-06-07 15:13:11,252 | bronze_pipeline | INFO | [dummyjson_products] Starting ingestion
2026-06-07 15:13:11,493 | bronze.extractor | INFO | [https://dummyjson.com/products] Paginated — total=194, page_size=30
2026-06-07 15:13:12,887 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 60/194 records
2026-06-07 15:13:13,397 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 90/194 records
2026-06-07 15:13:13,984 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 120/194 records
2026-06-07 15:13:14,581 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 150/194 records
2026-06-07 15:13:15,078 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 180/194 records
2026-06-07 15:13:15,639 | bronze.extractor | INFO | [https://dummyjson.com/products] Fetched 194/194 records
2026-06-07 15:13:15,680 | bronze.insert_query | INFO | Table 'bronze.dummyjson_products' already exists.
2026-06-07 15:13:15,756 | bronze.insert_query | INFO | [bronze.dummyjson_products] Inserted 194 rows.
2026-06-07 15:13:15,756 | bronze.loader | INFO | [dummyjson_products] Inserted 194 rows into bronze.dummyjson_products
2026-06-07 15:13:15,789 | bronze.insert_query | INFO | [dummyjson_products] Logged pipeline run aa1ad0d4-2757-4c8c-84fe-c3175b143c1c (success)
2026-06-07 15:13:15,789 | bronze_pipeline | INFO | [dummyjson_products] Done — 194 rows inserted
2026-06-07 15:13:15,789 | bronze_pipeline | INFO | [dummyjson_users] Starting ingestion
2026-06-07 15:13:16,016 | bronze.extractor | INFO | [https://dummyjson.com/users] Paginated — total=208, page_size=30
2026-06-07 15:13:16,527 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 60/208 records
2026-06-07 15:13:17,038 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 90/208 records
2026-06-07 15:13:17,535 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 120/208 records
2026-06-07 15:13:18,088 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 150/208 records
2026-06-07 15:13:18,605 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 180/208 records
2026-06-07 15:13:19,129 | bronze.extractor | INFO | [https://dummyjson.com/users] Fetched 208/208 records
2026-06-07 15:13:19,174 | bronze.insert_query | INFO | Table 'bronze.dummyjson_users' already exists.
2026-06-07 15:13:19,257 | bronze.insert_query | INFO | [bronze.dummyjson_users] Inserted 208 rows.
2026-06-07 15:13:19,257 | bronze.loader | INFO | [dummyjson_users] Inserted 208 rows into bronze.dummyjson_users
2026-06-07 15:13:19,290 | bronze.insert_query | INFO | [dummyjson_users] Logged pipeline run aa1ad0d4-2757-4c8c-84fe-c3175b143c1c (success)
2026-06-07 15:13:19,290 | bronze_pipeline | INFO | [dummyjson_users] Done — 208 rows inserted
2026-06-07 15:13:19,290 | bronze_pipeline | INFO | [dummyjson_carts] Starting ingestion
2026-06-07 15:13:19,786 | bronze.extractor | INFO | [https://dummyjson.com/carts] Paginated — total=208, page_size=30
2026-06-07 15:13:20,277 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 60/208 records
2026-06-07 15:13:20,870 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 90/208 records
2026-06-07 15:13:21,373 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 120/208 records
2026-06-07 15:13:21,895 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 150/208 records
2026-06-07 15:13:22,396 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 180/208 records
2026-06-07 15:13:22,907 | bronze.extractor | INFO | [https://dummyjson.com/carts] Fetched 208/208 records
2026-06-07 15:13:22,946 | bronze.insert_query | INFO | Table 'bronze.dummyjson_carts' already exists.
2026-06-07 15:13:23,010 | bronze.insert_query | INFO | [bronze.dummyjson_carts] Inserted 208 rows.
2026-06-07 15:13:23,010 | bronze.loader | INFO | [dummyjson_carts] Inserted 208 rows into bronze.dummyjson_carts
2026-06-07 15:13:23,044 | bronze.insert_query | INFO | [dummyjson_carts] Logged pipeline run aa1ad0d4-2757-4c8c-84fe-c3175b143c1c (success)
2026-06-07 15:13:23,044 | bronze_pipeline | INFO | [dummyjson_carts] Done — 208 rows inserted
2026-06-07 15:13:23,044 | bronze_pipeline | INFO | [jsonplaceholder_posts] Starting ingestion
2026-06-07 15:13:23,307 | bronze.extractor | INFO | [https://jsonplaceholder.typicode.com/posts] Non-paginated — 100 records fetched
2026-06-07 15:13:23,344 | bronze.insert_query | INFO | Table 'bronze.jsonplaceholder_posts' already exists.
2026-06-07 15:13:23,394 | bronze.insert_query | INFO | [bronze.jsonplaceholder_posts] Inserted 100 rows.
2026-06-07 15:13:23,394 | bronze.loader | INFO | [jsonplaceholder_posts] Inserted 100 rows into bronze.jsonplaceholder_posts
2026-06-07 15:13:23,426 | bronze.insert_query | INFO | [jsonplaceholder_posts] Logged pipeline run aa1ad0d4-2757-4c8c-84fe-c3175b143c1c (success)
2026-06-07 15:13:23,427 | bronze_pipeline | INFO | [jsonplaceholder_posts] Done — 100 rows inserted
